u1;u2;Cost
1,073674596;0,766478681;0,187540003
1,075395183;0,765737837;0,187461626
1,077110136;0,764997061;0,187383778
1,078819471;0,764256395;0,18730646
1,080523206;0,763515876;0,187229675
1,082221358;0,762775541;0,187153423
1,083913947;0,762035421;0,187077704
1,085600995;0,761295549;0,187002519
1,087282523;0,760555953;0,186927868
1,088958553;0,75981666;0,186853749
1,090629111;0,759077694;0,186780162
1,092294219;0,758339077;0,186707107
1,093953904;0,757600832;0,186634581
1,095608191;0,756862977;0,186562583
1,097257108;0,756125531;0,18649111
1,098900681;0,755388509;0,186420162
1,100538938;0,754651928;0,186349736
1,102171907;0,753915801;0,186279828
1,103799618;0,75318014;0,186210437
1,105422099;0,752444958;0,18614156
1,10703938;0,751710265;0,186073193
1,108651491;0,750976071;0,186005333
1,110258461;0,750242383;0,185937978
1,111860322;0,749509211;0,185871123
1,113457104;0,748776561;0,185804765
1,115048838;0,748044439;0,185738901
1,116635554;0,747312852;0,185673527
1,118217284;0,746581804;0,185608639
1,119794059;0,745851299;0,185544233
1,12136591;0,745121342;0,185480305
1,122932869;0,744391936;0,185416851
1,124494966;0,743663083;0,185353868
1,126052234;0,742934786;0,185291351
1,127604704;0,742207048;0,185229295
1,129152406;0,74147987;0,185167697
1,130695373;0,740753252;0,185106553
1,132233635;0,740027197;0,185045859
1,133767223;0,739301705;0,184985609
1,13529617;0,738576776;0,1849258
1,136820505;0,737852411;0,184866427
1,138340259;0,73712861;0,184807487
1,139855463;0,736405372;0,184748975
1,141366148;0,735682697;0,184690887
1,142872344;0,734960584;0,184633218
1,144374081;0,734239033;0,184575964
1,14587139;0,733518043;0,184519121
1,1473643;0,732797614;0,184462685
1,14885284;0,732077743;0,184406651
1,150337041;0,73135843;0,184351016
1,151816932;0,730639673;0,184295775
1,153292542;0,729921472;0,184240924
1,1547639;0,729203825;0,184186458
1,156231034;0,72848673;0,184132375
1,157693973;0,727770187;0,184078669
1,159152745;0,727054193;0,184025337
1,160607379;0,726338747;0,183972374
1,162057901;0,725623848;0,183919777
1,16350434;0,724909494;0,183867542
1,164946724;0,724195684;0,183815665
1,166385078;0,723482415;0,183764142
1,167819431;0,722769687;0,183712969
1,169249808;0,722057497;0,183662142
1,170676236;0,721345845;0,183611658
1,172098742;0,720634729;0,183561513
1,17351735;0,719924147;0,183511704
1,174932088;0,719214098;0,183462225
1,17634298;0,71850458;0,183413075
1,177750052;0,717795592;0,18336425
1,179153328;0,717087133;0,183315745
1,180552833;0,716379201;0,183267558
1,181948593;0,715671794;0,183219685
1,18334063;0,714964912;0,183172122
1,18472897;0,714258553;0,183124867
1,186113635;0,713552716;0,183077916
1,18749465;0,7128474;0,183031266
1,188872038;0,712142603;0,182984913
1,190245822;0,711438325;0,182938855
1,191616025;0,710734564;0,182893088
1,192982669;0,710031319;0,182847609
1,194345778;0,709328589;0,182802415
1,195705372;0,708626373;0,182757503
1,197061474;0,707924671;0,18271287
1,198414107;0,707223481;0,182668513
1,199763291;0,706522802;0,182624429
1,201109047;0,705822634;0,182580616
1,202451398;0,705122975;0,18253707
1,203790363;0,704423826;0,182493789
1,205125963;0,703725184;0,18245077
1,20645822;0,703027051;0,182408011
1,207787153;0,702329423;0,182365507
1,209112782;0,701632303;0,182323258
1,210435127;0,700935687;0,18228126
1,211754208;0,700239577;0,182239511
1,213070044;0,699543971;0,182198008
1,214382654;0,69884887;0,182156749
1,215692059;0,698154271;0,182115731
1,216998275;0,697460176;0,182074952
1,218301323;0,696766583;0,18203441
1,219601221;0,696073493;0,181994101
1,220897986;0,695380904;0,181954024
1,222191638;0,694688817;0,181914177
1,223482193;0,693997232;0,181874557
1,224769671;0,693306147;0,181835162
1,226054088;0,692615562;0,18179599
1,227335462;0,691925479;0,181757038
1,22861381;0,691235895;0,181718305
1,229889149;0,690546812;0,181679788
1,231161496;0,689858228;0,181641485
1,232430868;0,689170144;0,181603395
1,233697282;0,688482559;0,181565515
1,234960754;0,687795474;0,181527843
1,2362213;0,687108889;0,181490377
1,237478936;0,686422802;0,181453115
1,238733678;0,685737215;0,181416056
1,239985542;0,685052127;0,181379197
1,241234544;0,684367538;0,181342537
1,2424807;0,683683449;0,181306073
1,243724023;0,682999858;0,181269804
1,244964531;0,682316766;0,181233729
1,246202237;0,681634174;0,181197845
1,247437157;0,680952081;0,18116215
1,248669306;0,680270487;0,181126644
1,249898697;0,679589392;0,181091324
1,251125347;0,678908796;0,181056188
1,252349268;0,6782287;0,181021235
1,253570476;0,677549104;0,180986463
1,254788984;0,676870006;0,180951871
1,256004806;0,676191409;0,180917458
1,257217957;0,675513311;0,18088322
1,258428449;0,674835713;0,180849158
1,259636297;0,674158616;0,180815269
1,260841514;0,673482018;0,180781552
1,262044113;0,67280592;0,180748005
1,263244108;0,672130323;0,180714628
1,264441512;0,671455226;0,180681418
1,265636337;0,67078063;0,180648374
1,266828597;0,670106535;0,180615495
1,268018304;0,66943294;0,180582779
1,269205471;0,668759847;0,180550225
1,270390111;0,668087255;0,180517832
1,271572236;0,667415164;0,180485598
1,272751858;0,666743574;0,180453522
1,27392899;0,666072486;0,180421602
1,275103644;0,6654019;0,180389838
1,276275831;0,664731816;0,180358228
1,277445564;0,664062233;0,180326771
1,278612854;0,663393153;0,180295465
1,279777714;0,662724575;0,180264309
1,280940154;0,6620565;0,180233303
1,282100187;0,661388927;0,180202445
1,283257823;0,660721858;0,180171733
1,284413075;0,66005529;0,180141167
1,285565953;0,659389226;0,180110746
1,286716468;0,658723666;0,180080468
1,287864632;0,658058608;0,180050332
1,289010455;0,657394054;0,180020337
1,290153948;0,656730003;0,179990482
1,291295123;0,656066456;0,179960765
1,29243399;0,655403413;0,179931187
1,293570559;0,654740873;0,179901746
1,294704841;0,654078838;0,17987244
1,295836846;0,653417307;0,179843268
1,296966585;0,65275628;0,179814231
1,298094069;0,652095757;0,179785326
1,299219306;0,651435738;0,179756552
1,300342308;0,650776224;0,179727909
1,301463085;0,650117215;0,179699396
1,302581645;0,64945871;0,179671012
1,303698001;0,64880071;0,179642755
1,30481216;0,648143214;0,179614625
1,305924133;0,647486223;0,179586621
1,30703393;0,646829738;0,179558742
1,308141559;0,646173757;0,179530987
1,309247032;0,645518281;0,179503355
1,310350356;0,64486331;0,179475845
1,311451542;0,644208844;0,179448456
1,312550599;0,643554883;0,179421188
1,313647536;0,642901427;0,17939404
